net,length_um
_030_,116.28
_027_,114.04
_026_,105.22
_032_,84.02
_043_,80.5
net9,68.94
net3,67.44
net6,58
net7,56.9
net17,56.84
net12,55.02
net19,54.335
net13,50.76
_034_,47.3
_053_,46.1
net11,46.1
net2,41.14
net15,39.82
net18,37.2
_084_,37.02
net5,35.74
net14,35.62
net10,34.02
net24,33.1
net26,31.86
net4,31.6
net16,31.58
_051_,31.28
_074_,29.38
_009_,27.63
net1,26.2
_008_,25.8
a[0],20.71
net23,20.56
_087_,18.92
_082_,18.52
net8,17.25
b[5],16.2
_018_,16.02
b[6],15.28
b[4],15
b[2],14.59
y[6],14.59
y[2],14.44
a[6],14.08
net25,13.84
_062_,13.64
_089_,13.46
_060_,13.14
b[7],13.08
_020_,12.99
sel[0],12.24
a[2],11.92
a[7],11.82
_040_,11.74
_048_,11.62
_005_,11.54
_072_,11.52
b[1],11.44
b[0],11.33
_002_,11.32
_021_,11.26
y[4],11.24
y[3],11.22
sel[2],11.14
_075_,9.92
_086_,9.82
_054_,9.74
_073_,9.68
_071_,9.67
_017_,9.66
a[1],8.97
_049_,8.82
_003_,8.8
net27,8.4
_042_,7.8
y[1],7.61
a[5],7.45
_081_,7.34
_006_,7.1
_059_,7.08
_052_,6.88
_014_,6.76
_028_,6.72
_019_,6.66
_025_,6.6
_070_,6.6
sel[1],6.55
_031_,6.54
_022_,6.44
b[3],6.09
_029_,6.05
y[5],5.75
_015_,5.4
_041_,5.22
y[0],5.19
net21,5.04
_077_,4.9
y[7],4.85
_080_,4.82
_044_,4.8
net20,4.76
_010_,4.46
_061_,4.46
a[3],4.39
_063_,4.34
_069_,4.34
_079_,4.34
_085_,4.235
_024_,4.22
_007_,4.02
_078_,4.02
_038_,4
_064_,4
_001_,3.98
_037_,3.98
a[4],3.93
_065_,3.9
_035_,3.88
_036_,3.6
_083_,3.56
_066_,3.54
_012_,3.42
_033_,3.42
_057_,3.3
_023_,3.08
_067_,2.96
_016_,2.76
net22,2.64
_090_,2.62
_000_,2.52
_055_,2.52
_068_,2.52
_039_,2.5
_004_,2.16
_058_,2.16
_047_,2.04
_050_,2.04
_056_,2.04
_046_,1.84
_091_,1.72
_092_,1.72
_011_,1.7
_076_,1.7
_013_,1.26
_045_,1.26
_088_,0.92
